tweet_id	query
t741020019316928513	pattern24_entities_like_group
t728621890126917632	pattern24_entities_like_group
t734420099080327168	pattern24_entities_like_group
t740285096738099200	pattern24_entities_like_group
t730802653157052416	pattern24_entities_like_group
t745283423258943488	pattern24_entities_like_group
t745579917400809472	pattern24_entities_like_group
t733368455903252482	pattern24_entities_like_group
t745695515921223680	pattern24_entities_like_group
t745184975226437632	pattern24_entities_like_group
t743103983523352576	pattern24_entities_like_group
t729686119927808000	pattern24_entities_like_group
t738683986030014464	pattern24_entities_like_group
t741151453021102080	pattern24_entities_like_group
t739930275438821376	pattern24_entities_like_group
t745615683090849794	pattern24_entities_like_group
t745311350981861377	pattern24_entities_like_group
t732598000057470976	pattern24_entities_like_group
t745754876198686720	pattern24_entities_like_group
t745560698692861958	pattern24_entities_like_group
t739591415425032192	pattern24_entities_like_group
t743104108056485888	pattern24_entities_like_group
t733761643545382912	pattern24_entities_like_group
t741887144503971840	pattern24_entities_like_group
t743053961528233984	pattern24_entities_like_group
t739052392054939648	pattern24_entities_like_group
t744423463625105408	pattern24_entities_like_group
t735836208648048640	pattern24_entities_like_group
t737340326977884160	pattern24_entities_like_group
t744599275976396800	pattern24_entities_like_group
t741925351324950528	pattern24_entities_like_group
t745637754306977793	pattern24_entities_like_group
t731202818233733120	pattern24_entities_like_group
t742764148573020161	pattern24_entities_like_group
t743123839442423808	pattern24_entities_like_group
t738756536315609088	pattern24_entities_like_group
t743023667337125888	pattern24_entities_like_group
t743843865929592833	pattern24_entities_like_group
t740980266374733828	pattern24_entities_like_group
t742090439419908096	pattern24_entities_like_group
t742648107498917888	pattern24_entities_like_group
t745687197446250496	pattern24_entities_like_group
t729355796677599232	pattern24_entities_like_group
t731538433768820736	pattern24_entities_like_group
t743932403551506436	pattern24_entities_like_group
t737377146004443136	pattern24_entities_like_group
t740156865439498240	pattern24_entities_like_group
t730093027071385600	pattern24_entities_like_group
t744896515756400640	pattern24_entities_like_group
t741944357234872320	pattern24_entities_like_group
t741757799005335554	pattern24_entities_like_group
t745650530135982081	pattern24_entities_like_group
t729389731960770560	pattern24_entities_like_group
t746084524275208192	pattern24_entities_like_group
t745357022955245568	pattern24_entities_like_group
t736210488682512384	pattern24_entities_like_group
t729371300603547649	pattern24_entities_like_group
t730377851363569664	pattern24_entities_like_group
t729306617179738113	pattern24_entities_like_group
t731252720489889793	pattern24_entities_like_group
t736630367281647620	pattern24_entities_like_group
t730149692659609600	pattern24_entities_like_group
t740847673322901504	pattern24_entities_like_group
t744587213619494912	pattern24_entities_like_group
t735926654787276800	pattern24_entities_like_group
t745747590210289664	pattern24_entities_like_group
t742992360842354688	pattern24_entities_like_group
t742619654787588096	pattern24_entities_like_group
t746129271589044224	pattern24_entities_like_group
t730116166342066176	pattern24_entities_like_group
t742137485833216000	pattern24_entities_like_group
t744889303935770624	pattern24_entities_like_group
t741633726682148864	pattern24_entities_like_group
t731858844104658944	pattern24_entities_like_group
t745713417458155521	pattern24_entities_like_group
t736478936612372480	pattern24_entities_like_group
t743766221103968257	pattern24_entities_like_group
t746105768768847872	pattern24_entities_like_group
t734676473571856384	pattern24_entities_like_group
t742992888968192000	pattern24_entities_like_group
t735459394649985024	pattern24_entities_like_group
t744826594267701248	pattern24_entities_like_group
t728297909687570433	pattern24_entities_like_group
t731111065988239360	pattern24_entities_like_group
t735453159326375936	pattern24_entities_like_group
t730006375523307521	pattern24_entities_like_group
t735221580905775105	pattern24_entities_like_group
t732124708943089664	pattern24_entities_like_group
t736989176231428096	pattern24_entities_like_group
t742145412870574080	pattern24_entities_like_group
